category,lef_hip_x,lef_hip_y,left_ankle_x,left_ankle_y,left_knee_x,left_knee_y,left_shoulder_x,left_shoulder_y,right_ankle_x,right_ankle_y,right_hip_x,right_hip_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y
1.0,380.09454345703125,461.092529296875,297.9119873046875,678.2824096679688,215.72935485839844,489.42169189453125,236.27500915527344,281.67474365234375,246.5478363037109,640.5103149414062,318.45758056640625,461.092529296875,184.91087341308597,461.092529296875,205.4565277099609,281.67474365234375
1.0,366.54736328125,314.8595275878906,304.21051025390625,617.7440185546875,231.48422241210938,418.9761047363281,231.48422241210938,144.48699951171875,304.21051025390625,589.3486328125,304.21051025390625,314.8595275878906,210.70529174804688,409.5108947753906,210.70529174804688,153.9521484375
1.0,167.2918243408203,431.7893371582031,217.9842071533203,611.1495361328125,278.81500244140625,450.6693420410156,248.3996124267578,261.86904907226557,207.84571838378903,611.1495361328125,147.01487731933594,431.7893371582031,278.81500244140625,460.1093444824219,207.84571838378903,242.98904418945312
1.0,123.3620147705078,517.336181640625,243.9812164306641,648.4146728515625,299.65155029296875,545.4244384765625,262.5379638671875,311.3556823730469,262.5379638671875,657.7774658203125,123.3620147705078,517.336181640625,318.2083740234375,545.4244384765625,281.09478759765625,320.7184143066406
1.0,168.47021484375,495.5963134765625,218.86349487304688,669.2908935546875,279.3353881835937,523.0217895507811,239.02081298828125,321.90179443359375,208.78485107421875,678.4327392578125,148.31289672851562,495.5963134765625,279.3353881835937,532.1636352539061,208.78485107421875,312.75994873046875
1.0,138.66668701171878,383.0699462890625,192.0,534.5162353515625,277.3333740234375,383.0699462890625,192.0,178.17205810546875,192.0,552.3334350585939,117.33334350585938,400.88720703125,266.6666259765625,436.5216064453125,170.66668701171875,187.0806884765625
1.0,331.81829833984375,448.6976318359375,263.39959716796875,624.2243041992188,188.13897705078125,504.1271362304688,242.87396240234372,282.4093017578125,277.08331298828125,550.318359375,324.9764404296875,420.98291015625,194.9808349609375,439.45941162109375,215.5064697265625,245.456298828125
1.0,116.0475616455078,345.5717468261719,158.2466583251953,540.5096435546875,232.09510803222656,416.4582214355469,221.5453338623047,177.21627807617188,168.7964324951172,540.5096435546875,105.49778747558594,345.5717468261719,242.64488220214844,407.5974426269531,221.5453338623047,177.21627807617188
1.0,405.3333740234375,500.0091857910156,330.6666259765625,725.79150390625,256.0,575.2698974609375,309.3333740234375,311.8573303222656,330.6666259765625,716.3839111328125,405.3333740234375,509.4167785644531,266.6666259765625,575.2698974609375,298.6666259765625,330.6725158691406
1.0,74.66665649414062,309.89654541015625,149.33331298828125,460.656982421875,234.66668701171875,326.64764404296875,224.0,142.3848876953125,160.0,477.40814208984375,42.66665649414063,309.89654541015625,245.33331298828125,326.64764404296875,181.33331298828125,108.882568359375
